user_id,subscription_type,final_journey
1516,Annual,Homepage-Log in-Other-Other-Sign up-Log in-Log in-Homepage-Log in-Log in-Checkout-Checkout-Checkout-Checkout-Coupon-Checkout-Checkout-Checkout
3395,Annual,Other-Pricing-Sign up-Log in-Homepage-Pricing-Pricing-Checkout-Checkout
10107,Annual,Homepage-Homepage-Career tracks-Sign up-Log in-Homepage-Resources center-Other-Homepage-Career tracks-Career tracks-Courses-Career tracks-Log in-Homepage-Log in-Checkout-Checkout-Log in-Checkout-Log in-Log in-Checkout-Checkout-Checkout
11145,Monthly,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
12400,Monthly,Homepage-Career tracks-Sign up-Log in-Other-Career track certificate-Resources center-Homepage-Instructors-Log in-Checkout
13082,Monthly,Checkout-Checkout-Checkout-Homepage-Sign up-Log in-Checkout
14415,Monthly,Pricing-Sign up-Homepage-Log in-Log in-Checkout-Checkout
15630,Annual,Log in-Log in-Log in-Log in-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Pricing-Checkout-Other-Homepage-Log in-Checkout-Coupon-Homepage-Log in-Checkout-Checkout
16589,Quarterly,Homepage-Career tracks-Pricing-Sign up-Homepage-Sign up-Checkout
19458,Annual,Homepage-Sign up-Log in-Log in-Log in-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Courses-Coupon
20355,Monthly,Pricing-Courses-Career track certificate-Homepage-Log in-Checkout
22679,Annual,Coupon-Coupon
23292,Annual,Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Log in-Coupon-Homepage-Log in-Checkout-Log in-Checkout
24414,Annual,Coupon-Coupon
31705,Annual,Homepage-Pricing-Career tracks-Checkout-Homepage-Log in-Log in-Checkout-Checkout-Checkout-Checkout
34689,Monthly,Log in-Homepage-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Homepage-Log in-Log in-Checkout
34912,Annual,Log in-Log in-Checkout
37614,Annual,Pricing-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Log in-Log in-Log in-Checkout-Checkout-Log in-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Pricing-Homepage-Other-Homepage-Log in-Checkout-Homepage-Log in-Homepage-Log in-Coupon-Coupon-Coupon
37828,Annual,Homepage-Courses-Sign up-Log in-Homepage-Career tracks-Sign up-Log in-Log in-Other-Resources center-Homepage-Pricing-Checkout-Courses-Log in-Checkout
39452,Annual,Courses-Sign up-Log in-Other-Coupon-Coupon
41200,Annual,Coupon-Coupon-Coupon-Coupon-Checkout-Checkout
49669,Annual,Coupon-Other-Coupon
60084,Monthly,Other
71559,Annual,Coupon-Pricing-Sign up-Checkout
72771,Monthly,Log in-Checkout
74256,Annual,Sign up-Log in-Other-Homepage-Log in-Checkout
75048,Annual,Resources center-Log in-Resources center-Log in-Other-Log in-Other-Courses-Log in-Coupon-Coupon
82563,Monthly,Courses-Sign up-Checkout-Checkout
88208,Annual,Homepage-Career tracks-Pricing-Courses-Homepage-Career tracks-Homepage-Career tracks-Pricing-Homepage-Career tracks-Courses-Homepage-Career tracks-Homepage-Course certificate-Resources center-Pricing-Log in-Homepage-Pricing-Pricing-Career tracks-Courses-Homepage-Career track certificate-Career tracks-Homepage-Log in-Homepage-Career track certificate-Career tracks-Courses-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout-Checkout-Checkout
96793,Annual,Homepage-Pricing-Coupon
97516,Annual,Other-Homepage-Courses-Coupon
102461,Annual,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,Annual,Other-Log in-Coupon
105951,Annual,Coupon-Pricing-Checkout
108970,Annual,Homepage-Courses-Homepage-Career track certificate-Career tracks-Homepage-Sign up-Course certificate-Homepage-Course certificate-Career track certificate-Career tracks-Courses-Homepage-Career track certificate-Other-Log in-Homepage-Sign up-Career tracks-Homepage-Pricing-Checkout-Homepage-Sign up-Pricing-Checkout-Homepage-Sign up-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Upcoming courses-Courses-Courses-Sign up-Log in-Sign up-Courses-Homepage-Pricing-Checkout-Log in-Coupon
110519,Annual,Coupon-Coupon
120485,Monthly,Other-Log in-Log in-Homepage-Sign up-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Upcoming courses-Upcoming courses-Courses-Resources center-Resources center-Homepage-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Career tracks-Checkout
121047,Annual,Other-Log in-Log in-Log in-Log in-Homepage-Pricing-Other-Courses-Sign up-Log in-Other-Coupon
